soc_code,occ_title,employer_name,agc_type,url,url_type,source_type
11-3013,Facilities Managers,ConstructionJobs.com,national,https://www.constructionjobs.com/,job_board,job_board
11-9021,Construction Managers,AGC Maine,maine,https://www.agcmaine.org/career-center/,job_board,job_board
11-9021,Construction Managers,CMAA Career HQ,national,https://jobs.constructionmanagement.org/,job_board,job_board
11-9021,Construction Managers,ConstructionJobs.com,national,https://www.constructionjobs.com/,job_board,job_board
11-9021,Construction Managers,Live-and-Work-in-Maine,maine,https://www.liveandworkinmaine.com/jobs/,job_board,job_board
11-9021,Construction Managers,Michael Page Construction,national,https://www.michaelpage.com/jobs/construction,job_board,job_board
11-9021,Construction Managers,iHireConstruction,national,https://www.ihireconstruction.com/,job_board,job_board
11-9021,Construction Managers,American Defense Industrial,General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,Arthur C Dudley Contractor,General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,Bancroft Contractor Corp,General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,Beaupre's Construction LLC,General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,Bedard Excavation,General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,Bowman Constructors,General Contractors,https://bowmanconstructors.com/careers-at-bowman/,company_site,local_employer
11-9021,Construction Managers,"C. M. Cimino, Inc",General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,"CCB, Inc",General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,CEM DP Porter Contractor,General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,CPM Constructors,General Contractors,https://www.cpmconstructors.com/job-openings,company_site,local_employer
11-9021,Construction Managers,Carl Huston Excavation,General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,Cianbro Corporation,General Contractors,https://www.cianbro.com/careers-list,company_site,local_employer
