soc_code,occ_title,program_name,college,program_type,credential,url,source
11-9021,Construction Managers,Maine Workforce Development Compact,Workforce Initiative,bootcamp,"Grants up to $1,200 per employee for construction firms to train staff in safety, project management, or new technical skills.",https://www.mccs.me.edu/workforce-training/maine-workforce-development-compact/,workforce_initiative
17-2051,Civil Engineers,Transfer ME (Pre-Engineering),Workforce Initiative,bootcamp,Proactive transfer pathway for students with 30+ credits to move from MCCS to University of Maine Engineering programs.,https://legislature.maine.gov/doc/12341,workforce_initiative
17-2051,Civil Engineers,Advanced Technology Centers,Workforce Initiative,bootcamp,"Hands-on labs at SMCC (Brunswick) for Robotics, Hydraulics, and Electrical Simulation training.",,workforce_initiative
47-1011,First-Line Supervisors,Foreman,AGC Maine,apprenticeship,Apprenticeship,https://buildingmaine.com/pre-apprenticeship,agc_apprenticeship
47-2031,Carpenters,Bridge Carpenter/Heavy Highway,AGC Maine,apprenticeship,Apprenticeship,https://buildingmaine.com/pre-apprenticeship,agc_apprenticeship
47-2031,Carpenters,Construction Carpenter,AGC Maine,apprenticeship,Apprenticeship,https://buildingmaine.com/pre-apprenticeship,agc_apprenticeship
47-2031,Carpenters,Construction Craft Concrete Laborer,AGC Maine,apprenticeship,Apprenticeship,https://buildingmaine.com/pre-apprenticeship,agc_apprenticeship
47-2031,Carpenters,Construction Specialist,AGC Maine,apprenticeship,Apprenticeship,https://buildingmaine.com/pre-apprenticeship,agc_apprenticeship
47-2031,Carpenters,Fencing Installer,AGC Maine,apprenticeship,Apprenticeship,https://buildingmaine.com/pre-apprenticeship,agc_apprenticeship
47-2031,Carpenters,Marine Carpenter - Heavy Civil,AGC Maine,apprenticeship,Apprenticeship,https://buildingmaine.com/pre-apprenticeship,agc_apprenticeship
47-2031,Carpenters,Construction Technology,SMCC,associate,AAS Degree,https://www.smccme.edu/academics/pathways/industrial-technology-transportation/construction-technology-associate-degree/,community_college
47-2031,Carpenters,Building Construction Technology,CMCC,associate_or_certificate,"AAS Degree, Certificate",https://www.cmcc.edu/academics/programs/programs-of-study/building-construction-technology/,community_college
47-2031,Carpenters,Building Construction,EMCC,associate_or_certificate,"AAS Degree, Certificate",https://www.emcc.edu/academics/programs/programs-of-study/building-construction/,community_college
47-2031,Carpenters,Maine Construction Academy (MCA),Workforce Initiative,bootcamp,"Immersion Programs: 4-week, tuition-free intensive training in high-demand trades. Includes hands-on skills and guaranteed job interviews.",https://buildingmaine.com/immersion-program,workforce_initiative
